27.67 -11.33 0.00 0.00 -11.33 1.67 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
-11.33 53.67 -16.33 0.00 0.00 -17.67 1.67 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 -16.33 48.67 -6.33 0.00 0.00 -17.67 1.67 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 -6.33 16.00 0.00 0.00 0.00 -6.33 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
-11.33 0.00 0.00 0.00 53.67 -17.67 0.00 0.00 -16.33 1.67 0.00 0.00 0.00 0.00 0.00 0.00 
1.67 -17.67 0.00 0.00 -17.67 117.33 -32.67 0.00 0.00 -32.67 1.67 0.00 0.00 0.00 0.00 0.00 
0.00 1.67 -17.67 0.00 0.00 -32.67 117.33 -17.67 0.00 0.00 -32.67 1.67 0.00 0.00 0.00 0.00 
0.00 0.00 1.67 -6.33 0.00 0.00 -17.67 48.67 0.00 0.00 0.00 -16.33 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 -16.33 0.00 0.00 0.00 48.67 -17.67 0.00 0.00 -6.33 1.67 0.00 0.00 
0.00 0.00 0.00 0.00 1.67 -32.67 0.00 0.00 -17.67 117.33 -32.67 0.00 0.00 -17.67 1.67 0.00 
0.00 0.00 0.00 0.00 0.00 1.67 -32.67 0.00 0.00 -32.67 117.33 -17.67 0.00 0.00 -17.67 1.67 
0.00 0.00 0.00 0.00 0.00 0.00 1.67 -16.33 0.00 0.00 -17.67 53.67 0.00 0.00 0.00 -11.33 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -6.33 0.00 0.00 0.00 16.00 -6.33 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.67 -17.67 0.00 0.00 -6.33 48.67 -16.33 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.67 -17.67 0.00 0.00 -16.33 53.67 -11.33 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.67 -11.33 0.00 0.00 -11.33 27.67 
